iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,3,10,50,300,0,1782817845.8567,touchpad
1,3,10,50,300,1,1782817847.3059,touchpad
1,3,10,50,300,2,1782817848.5466,touchpad
1,3,10,50,300,3,1782817849.7238,touchpad
1,3,10,50,300,4,1782817850.6824,touchpad
1,3,10,50,300,5,1782817852.2093,touchpad
1,3,10,50,300,6,1782817853.3536,touchpad
1,3,10,50,300,7,1782817854.6697,touchpad
1,3,10,50,300,8,1782817856.0325,touchpad
1,3,10,50,300,9,1782817857.3784,touchpad
2,3,10,50,300,0,1782817858.3597,touchpad
2,3,10,50,300,1,1782817859.6927,touchpad
2,3,10,50,300,2,1782817860.7925,touchpad
2,3,10,50,300,3,1782817861.9942,touchpad
2,3,10,50,300,4,1782817863.4171,touchpad
2,3,10,50,300,5,1782817864.6539,touchpad
2,3,10,50,300,6,1782817865.7905,touchpad
2,3,10,50,300,7,1782817867.0619,touchpad
2,3,10,50,300,8,1782817868.5371,touchpad
2,3,10,50,300,9,1782817869.8644,touchpad
0,3,10,40,300,0,1782817871.2278,touchpad
0,3,10,40,300,1,1782817872.5309,touchpad
0,3,10,40,300,2,1782817873.9196,touchpad
0,3,10,40,300,3,1782817875.0841,touchpad
0,3,10,40,300,4,1782817876.378,touchpad
0,3,10,40,300,5,1782817877.4873,touchpad
0,3,10,40,300,6,1782817878.9144,touchpad
0,3,10,40,300,7,1782817880.3354,touchpad
0,3,10,40,300,8,1782817881.887,touchpad
0,3,10,40,300,9,1782817883.1573,touchpad
1,3,10,40,300,0,1782817884.3359,touchpad
1,3,10,40,300,1,1782817885.4599,touchpad
1,3,10,40,300,2,1782817887.0755,touchpad
1,3,10,40,300,3,1782817888.4321,touchpad
1,3,10,40,300,4,1782817889.4557,touchpad
1,3,10,40,300,5,1782817891.0864,touchpad
1,3,10,40,300,6,1782817892.3565,touchpad
1,3,10,40,300,7,1782817893.6336,touchpad
1,3,10,40,300,8,1782817895.1849,touchpad
1,3,10,40,300,9,1782817896.4147,touchpad
2,3,10,40,300,0,1782817897.8494,touchpad
2,3,10,40,300,1,1782817899.2633,touchpad
2,3,10,40,300,2,1782817900.8424,touchpad
2,3,10,40,300,3,1782817902.2694,touchpad
2,3,10,40,300,4,1782817903.8198,touchpad
2,3,10,40,300,5,1782817905.1247,touchpad
2,3,10,40,300,6,1782817908.4378,touchpad
2,3,10,40,300,7,1782817911.1182,touchpad
