iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,1,10,40,350,0,1782742909.2556,touchpad
1,1,10,40,350,1,1782742910.5725,touchpad
1,1,10,40,350,2,1782742911.9961,touchpad
1,1,10,40,350,3,1782742913.3505,touchpad
1,1,10,40,350,4,1782742914.6117,touchpad
1,1,10,40,350,5,1782742915.9733,touchpad
1,1,10,40,350,6,1782742917.3449,touchpad
1,1,10,40,350,7,1782742918.6613,touchpad
1,1,10,40,350,8,1782742920.0002,touchpad
1,1,10,40,350,9,1782742921.4944,touchpad
2,1,10,40,350,0,1782742922.5112,touchpad
2,1,10,40,350,1,1782742923.9178,touchpad
2,1,10,40,350,2,1782742925.7167,touchpad
2,1,10,40,350,3,1782742927.0851,touchpad
2,1,10,40,350,4,1782742928.311,touchpad
2,1,10,40,350,5,1782742929.6161,touchpad
2,1,10,40,350,6,1782742930.8371,touchpad
2,1,10,40,350,7,1782742932.2204,touchpad
2,1,10,40,350,8,1782742933.469,touchpad
2,1,10,40,350,9,1782742934.8671,touchpad
0,1,10,30,350,0,1782742936.1605,touchpad
0,1,10,30,350,1,1782742937.6934,touchpad
0,1,10,30,350,2,1782742938.9262,touchpad
0,1,10,30,350,3,1782742940.2229,touchpad
0,1,10,30,350,4,1782742941.5246,touchpad
0,1,10,30,350,5,1782742943.4865,touchpad
0,1,10,30,350,6,1782742944.7745,touchpad
0,1,10,30,350,7,1782742946.4929,touchpad
0,1,10,30,350,8,1782742947.7936,touchpad
0,1,10,30,350,9,1782742950.0305,touchpad
1,1,10,30,350,0,1782742951.1744,touchpad
1,1,10,30,350,1,1782742953.0862,touchpad
1,1,10,30,350,2,1782742954.315,touchpad
1,1,10,30,350,3,1782742955.4341,touchpad
1,1,10,30,350,4,1782742956.9476,touchpad
1,1,10,30,350,5,1782742958.7916,touchpad
1,1,10,30,350,6,1782742960.2812,touchpad
1,1,10,30,350,7,1782742961.8699,touchpad
1,1,10,30,350,8,1782742963.1953,touchpad
1,1,10,30,350,9,1782742965.129,touchpad
2,1,10,30,350,0,1782742966.1713,touchpad
2,1,10,30,350,1,1782742968.4328,touchpad
2,1,10,30,350,2,1782742970.0735,touchpad
2,1,10,30,350,3,1782742971.5241,touchpad
2,1,10,30,350,4,1782742973.1136,touchpad
2,1,10,30,350,5,1782742974.6992,touchpad
2,1,10,30,350,6,1782742975.9855,touchpad
2,1,10,30,350,7,1782742977.4832,touchpad
2,1,10,30,350,8,1782742979.2166,touchpad
2,1,10,30,350,9,1782742980.8329,touchpad
0,1,10,50,350,0,1782742983.0237,touchpad
0,1,10,50,350,1,1782742984.6267,touchpad
0,1,10,50,350,2,1782742985.6726,touchpad
0,1,10,50,350,3,1782742986.7365,touchpad
0,1,10,50,350,4,1782742987.9095,touchpad
0,1,10,50,350,5,1782742989.006,touchpad
0,1,10,50,350,6,1782742990.3636,touchpad
0,1,10,50,350,7,1782742991.4748,touchpad
0,1,10,50,350,8,1782742992.6453,touchpad
0,1,10,50,350,9,1782742994.474,touchpad
1,1,10,50,350,0,1782742995.4544,touchpad
1,1,10,50,350,1,1782742996.5959,touchpad
1,1,10,50,350,2,1782742997.7783,touchpad
1,1,10,50,350,3,1782742999.1917,touchpad
1,1,10,50,350,4,1782743001.2781,touchpad
1,1,10,50,350,5,1782743003.0056,touchpad
1,1,10,50,350,6,1782743004.2941,touchpad
1,1,10,50,350,7,1782743005.6543,touchpad
1,1,10,50,350,8,1782743006.7168,touchpad
1,1,10,50,350,9,1782743008.2623,touchpad
2,1,10,50,350,0,1782743009.2143,touchpad
2,1,10,50,350,1,1782743010.9922,touchpad
2,1,10,50,350,2,1782743012.1373,touchpad
2,1,10,50,350,3,1782743013.6324,touchpad
2,1,10,50,350,4,1782743014.9269,touchpad
2,1,10,50,350,5,1782743015.9701,touchpad
2,1,10,50,350,6,1782743017.0712,touchpad
2,1,10,50,350,7,1782743018.3681,touchpad
2,1,10,50,350,8,1782743019.5205,touchpad
2,1,10,50,350,9,1782743020.7352,touchpad
0,1,10,30,300,0,1782743022.064,touchpad
0,1,10,30,300,1,1782743023.5719,touchpad
0,1,10,30,300,2,1782743024.8455,touchpad
0,1,10,30,300,3,1782743026.1695,touchpad
0,1,10,30,300,4,1782743027.4409,touchpad
0,1,10,30,300,5,1782743028.7647,touchpad
0,1,10,30,300,6,1782743030.1268,touchpad
0,1,10,30,300,7,1782743032.0513,touchpad
0,1,10,30,300,8,1782743033.5633,touchpad
0,1,10,30,300,9,1782743034.7631,touchpad
1,1,10,30,300,0,1782743036.0103,touchpad
1,1,10,30,300,1,1782743037.6962,touchpad
1,1,10,30,300,2,1782743038.9498,touchpad
1,1,10,30,300,3,1782743040.4918,touchpad
1,1,10,30,300,4,1782743041.9806,touchpad
1,1,10,30,300,5,1782743043.481,touchpad
1,1,10,30,300,6,1782743044.7662,touchpad
1,1,10,30,300,7,1782743046.0649,touchpad
1,1,10,30,300,8,1782743047.5768,touchpad
1,1,10,30,300,9,1782743048.9204,touchpad
2,1,10,30,300,0,1782743050.479,touchpad
2,1,10,30,300,1,1782743051.882,touchpad
2,1,10,30,300,2,1782743053.2737,touchpad
2,1,10,30,300,3,1782743054.9515,touchpad
2,1,10,30,300,4,1782743056.4195,touchpad
2,1,10,30,300,5,1782743057.9039,touchpad
2,1,10,30,300,6,1782743059.0893,touchpad
2,1,10,30,300,7,1782743060.4472,touchpad
2,1,10,30,300,8,1782743061.8612,touchpad
2,1,10,30,300,9,1782743063.5866,touchpad
0,1,10,30,400,0,1782743065.3398,touchpad
0,1,10,30,400,1,1782743067.2567,touchpad
0,1,10,30,400,2,1782743068.5139,touchpad
0,1,10,30,400,3,1782743069.7586,touchpad
0,1,10,30,400,4,1782743071.4549,touchpad
0,1,10,30,400,5,1782743072.8307,touchpad
0,1,10,30,400,6,1782743074.6319,touchpad
0,1,10,30,400,7,1782743076.3088,touchpad
0,1,10,30,400,8,1782743077.8459,touchpad
0,1,10,30,400,9,1782743079.4926,touchpad
1,1,10,30,400,0,1782743080.7325,touchpad
1,1,10,30,400,1,1782743082.3352,touchpad
1,1,10,30,400,2,1782743083.8026,touchpad
1,1,10,30,400,3,1782743085.4198,touchpad
1,1,10,30,400,4,1782743087.0871,touchpad
1,1,10,30,400,5,1782743088.694,touchpad
1,1,10,30,400,6,1782743090.0487,touchpad
1,1,10,30,400,7,1782743091.3572,touchpad
1,1,10,30,400,8,1782743092.6945,touchpad
1,1,10,30,400,9,1782743094.0998,touchpad
2,1,10,30,400,0,1782743095.2363,touchpad
2,1,10,30,400,1,1782743096.3614,touchpad
2,1,10,30,400,2,1782743097.6023,touchpad
2,1,10,30,400,3,1782743099.0079,touchpad
2,1,10,30,400,4,1782743100.9071,touchpad
2,1,10,30,400,5,1782743102.3178,touchpad
2,1,10,30,400,6,1782743103.5104,touchpad
2,1,10,30,400,7,1782743105.1677,touchpad
2,1,10,30,400,8,1782743106.5151,touchpad
2,1,10,30,400,9,1782743108.1592,touchpad
0,1,10,40,300,0,1782743109.166,touchpad
0,1,10,40,300,1,1782743111.0384,touchpad
