iteration,pid,num_targets,target_w,target_d,target_id,timestamp,input
1,3,10,50,300,0,1782816976.4791,mouse
1,3,10,50,300,1,1782816977.3341,mouse
1,3,10,50,300,2,1782816978.2484,mouse
1,3,10,50,300,3,1782816979.021,mouse
1,3,10,50,300,4,1782816979.6976,mouse
1,3,10,50,300,5,1782816980.3328,mouse
1,3,10,50,300,6,1782816981.1044,mouse
1,3,10,50,300,7,1782816981.7819,mouse
1,3,10,50,300,8,1782816982.6106,mouse
1,3,10,50,300,9,1782816983.3533,mouse
2,3,10,50,300,0,1782816984.2789,mouse
2,3,10,50,300,1,1782816985.0857,mouse
2,3,10,50,300,2,1782816985.8179,mouse
2,3,10,50,300,3,1782816986.5511,mouse
2,3,10,50,300,4,1782816987.2855,mouse
2,3,10,50,300,5,1782816988.3512,mouse
2,3,10,50,300,6,1782816989.1513,mouse
2,3,10,50,300,7,1782816989.9549,mouse
2,3,10,50,300,8,1782816990.7188,mouse
2,3,10,50,300,9,1782816991.4922,mouse
0,3,10,30,350,0,1782816992.2271,mouse
0,3,10,30,350,1,1782816993.0817,mouse
0,3,10,30,350,2,1782816993.9493,mouse
0,3,10,30,350,3,1782816994.8257,mouse
0,3,10,30,350,4,1782816995.587,mouse
0,3,10,30,350,5,1782816996.4558,mouse
0,3,10,30,350,6,1782816997.2782,mouse
0,3,10,30,350,7,1782816998.6925,mouse
0,3,10,30,350,8,1782816999.6475,mouse
0,3,10,30,350,9,1782817000.4711,mouse
1,3,10,30,350,0,1782817001.0634,mouse
1,3,10,30,350,1,1782817002.1876,mouse
1,3,10,30,350,2,1782817002.9933,mouse
1,3,10,30,350,3,1782817003.8876,mouse
1,3,10,30,350,4,1782817005.3718,mouse
1,3,10,30,350,5,1782817006.2027,mouse
1,3,10,30,350,6,1782817006.9233,mouse
1,3,10,30,350,7,1782817007.5694,mouse
1,3,10,30,350,8,1782817008.526,mouse
1,3,10,30,350,9,1782817009.4647,mouse
2,3,10,30,350,0,1782817010.6972,mouse
2,3,10,30,350,1,1782817011.6937,mouse
2,3,10,30,350,2,1782817012.438,mouse
2,3,10,30,350,3,1782817013.1253,mouse
2,3,10,30,350,4,1782817013.6734,mouse
2,3,10,30,350,5,1782817014.8044,mouse
2,3,10,30,350,6,1782817015.5776,mouse
2,3,10,30,350,7,1782817016.2115,mouse
2,3,10,30,350,8,1782817016.8809,mouse
2,3,10,30,350,9,1782817017.928,mouse
0,3,10,40,350,0,1782817018.7902,mouse
0,3,10,40,350,1,1782817019.79,mouse
0,3,10,40,350,2,1782817020.648,mouse
0,3,10,40,350,3,1782817021.4626,mouse
0,3,10,40,350,4,1782817022.1715,mouse
0,3,10,40,350,5,1782817022.8454,mouse
0,3,10,40,350,6,1782817023.5642,mouse
0,3,10,40,350,7,1782817024.3339,mouse
0,3,10,40,350,8,1782817025.0203,mouse
0,3,10,40,350,9,1782817025.8807,mouse
1,3,10,40,350,0,1782817026.6381,mouse
1,3,10,40,350,1,1782817027.7761,mouse
1,3,10,40,350,2,1782817028.4004,mouse
1,3,10,40,350,3,1782817029.0396,mouse
1,3,10,40,350,4,1782817029.7553,mouse
1,3,10,40,350,5,1782817030.6342,mouse
1,3,10,40,350,6,1782817031.1836,mouse
1,3,10,40,350,7,1782817031.8587,mouse
1,3,10,40,350,8,1782817032.4227,mouse
1,3,10,40,350,9,1782817033.0291,mouse
2,3,10,40,350,0,1782817033.8511,mouse
2,3,10,40,350,1,1782817034.5738,mouse
2,3,10,40,350,2,1782817035.1821,mouse
2,3,10,40,350,3,1782817035.8456,mouse
2,3,10,40,350,4,1782817036.6651,mouse
2,3,10,40,350,5,1782817037.5481,mouse
2,3,10,40,350,6,1782817038.2393,mouse
2,3,10,40,350,7,1782817039.033,mouse
2,3,10,40,350,8,1782817039.7324,mouse
2,3,10,40,350,9,1782817040.5737,mouse
0,3,10,40,300,0,1782817041.3493,mouse
0,3,10,40,300,1,1782817042.026,mouse
0,3,10,40,300,2,1782817042.6627,mouse
0,3,10,40,300,3,1782817043.5176,mouse
0,3,10,40,300,4,1782817045.1264,mouse
0,3,10,40,300,5,1782817046.8223,mouse
0,3,10,40,300,6,1782817047.7942,mouse
